EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
58183000;1;01/05/2017;;1;1;148,926;70,996;97,592;22;1;1;1;1;;0;70,996;91,676;94,09;85,429;86,965;91,676;88,518;81,663;87,739;93,281;89,301;89,301;93,281;88,518;81,663;87,739;86,195;90,089;95,706;114,602;137,102;148,926;137,102;118,097;110,29;103,107;94,09;90,88;98,969;99,38;98,969;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/04/2017;;1;1;85,429;60,629;75,257;11;3;1;1;1;;0;75,858;70,318;60,629;62,495;70,996;79,455;64,397;70,996;84,667;83,157;85,429;73,055;67,646;70,996;76,569;73,75;72,365;78,004;83,157;76,569;80,923;80,187;70,996;79,455;76,569;75,151;80,923;85,429;76,569;70,996;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58183000;1;01/03/2017;;1;1;242,949;70,996;128,387;8;29;1;1;1;;0;110,29;158,654;186,609;191,878;202,043;212,961;226,352;242,949;167,108;101,859;107,31;106,042;106,887;110,29;97,741;106,042;102,274;110,29;135,708;163,606;172,667;122,078;101,859;89,301;85,429;88,518;81,663;72,365;70,996;75,858;72,365;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/02/2017;;1;1;126,559;83,91;104,665;14;6;1;1;1;;0;113,735;110,29;97,741;99,792;85,429;83,91;90,88;98,969;95,301;101,859;109,436;114,602;124,311;126,559;118,097;108,158;106,042;97,741;97,332;101,444;108,158;101,859;98,15;104,781;109,863;106,887;109,436;109,863;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
58183000;1;01/01/2017;;1;1;314,394;114,602;194,132;26;7;1;1;1;;0;123,416;123,416;125,208;131,103;134,32;130,189;114,602;124,311;146,531;158,654;166,104;176,755;180,361;175,218;161,123;178,812;181,397;209,662;208,021;219,617;247,606;277,481;289,795;296,029;308,649;314,394;283,612;296,655;250,535;168,617;115,908;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/12/2016;;1;1;141,786;58,195;103,582;2;17;1;1;1;;0;125,658;141,786;129,734;122,078;125,208;131,103;122,078;119,419;127,916;123,863;106,042;111,148;103,943;100,617;81,663;77,284;58,195;65,685;75,151;81,663;92,477;106,042;106,887;105,621;97,741;100,204;87,739;75,151;78,004;116,345;114,602;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/11/2016;;1;1;116,782;58,195;86,903;21;8;1;1;1;;0;100,617;85,429;83,157;75,151;67,646;72,365;58,798;58,195;63,759;73,055;98,969;98,559;102,69;108,584;90,88;106,042;99,792;102,69;112,007;113,735;116,782;109,436;101,859;98,559;70,996;78,004;70,318;68,974;60,629;59,404;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58183000;1;01/10/2016;;1;1;141,786;31,969;89,493;22;10;2;2;2;;0;63,125;37,166;63,125;58,798;60,629;73,055;97,741;39,008;32,801;31,969;40,907;46,945;52,381;58,195;86,965;109,009;111,577;118,097;119,419;123,863;134,32;141,786;134,782;130,646;133,398;114,602;119,86;119,86;109,436;107,31;103,525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
58183000;1;01/09/2016;;1;1;63,125;28,772;46,245;17;11;1;1;1;;0;51,264;58,195;52,381;51,264;58,798;44,366;34,941;36,265;41,877;44,366;28,772;29,946;30,745;30,745;45,903;58,195;63,125;63,125;52,381;51,821;52,381;41,877;42,862;50,162;58,195;34,941;43,36;29,946;46,945;58,195;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58183000;1;01/08/2016;;1;1;85,429;27,627;54,27;27;13;1;1;1;;0;43,36;46,945;43,36;42,862;44,875;50,711;46,945;45,903;50,711;50,711;39,477;34,941;27,627;31,969;35,82;40,427;46,945;52,946;58,195;46,945;54,085;62,495;66,334;76,569;72,365;70,996;85,429;78,004;78,004;85,429;70,996;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
